arch,n_params,n_train_steps,auc,final_acc,first_loss,last_loss,status,elapsed_s
attn_1l,210336,500,0.0025,0.005,24.6275,0.5562,ok,0.76
attn_1l,210336,1000,0.004,0.015,25.6483,0.0002,ok,1.47
attn_1l,210336,2000,0.0092,0.01,31.2371,0.0,ok,2.93
attn_2l,322176,500,0.0073,0.01,22.1213,0.0001,ok,1.19
attn_2l,322176,1000,0.0105,0.015,25.3028,0.0,ok,2.11
attn_2l,322176,2000,0.006,0.005,22.3618,0.0,ok,4.38
attn_4l,545856,500,0.0043,0.005,30.4422,0.0314,ok,1.81
attn_4l,545856,1000,0.0053,0.005,25.4122,0.0001,ok,3.44
attn_4l,545856,2000,0.0045,0.01,23.7465,0.0001,ok,6.81
conv3_2l,253632,500,0.0045,0.005,20.8209,0.0001,ok,0.71
conv3_2l,253632,1000,0.0032,0.0,21.9857,0.0006,ok,1.36
conv3_2l,253632,2000,0.0008,0.0,18.8097,0.0,ok,2.69
conv7_2l,327360,500,0.0075,0.01,24.5535,0.0956,ok,0.7
conv7_2l,327360,1000,0.0065,0.01,31.1883,0.0049,ok,1.33
conv7_2l,327360,2000,0.008,0.01,26.5771,0.0006,ok,2.63
conv7_4l,605376,500,0.0035,0.01,25.852,0.194,ok,0.98
conv7_4l,605376,1000,0.0025,0.0,23.5632,0.002,ok,1.85
conv7_4l,605376,2000,0.0035,0.0,24.3306,0.0,ok,3.59
ssm_2l,74720,500,0.0032,0.0,24.223,1.8268,ok,13.68
ssm_2l,74720,1000,0.0047,0.0,24.3817,0.0075,ok,27.72
ssm_2l,74720,2000,0.0105,0.015,30.7645,0.0001,ok,52.36
ssm_4l,100096,500,0.0035,0.005,23.8502,0.0845,ok,27.1
ssm_4l,100096,1000,0.005,0.005,27.8576,0.0002,ok,53.08
ssm_4l,100096,2000,0.0088,0.01,28.66,0.0,ok,105.23
rwkv_2l,272448,500,0.002,0.0,25.3844,0.0003,ok,10.92
rwkv_2l,272448,1000,0.0037,0.005,27.3059,0.0,ok,20.96
rwkv_2l,272448,2000,0.0067,0.005,26.0166,0.0,ok,41.48
hybrid_2l,331104,500,0.002,0.0,24.5976,0.0026,ok,0.85
hybrid_2l,331104,1000,0.0055,0.01,29.9429,0.0005,ok,1.68
hybrid_2l,331104,2000,0.0055,0.01,23.0654,0.0,ok,3.54
hybrid_4l,563712,500,0.009,0.02,26.4823,0.0005,ok,1.46
hybrid_4l,563712,1000,0.0057,0.005,27.9705,0.0,ok,2.61
hybrid_4l,563712,2000,0.005,0.0,29.1351,0.0,ok,5.76
