arch,family,seed,auc,max_gap_acc,elapsed_s,status
attn_1l,attention,11,0.993,1.0,1.36,ok
attn_1l,attention,23,0.996,1.0,0.67,ok
attn_1l,attention,47,0.999,1.0,0.66,ok
attn_1l,attention,89,0.527,0.58,0.7,ok
attn_1l,attention,131,0.044,0.065,0.69,ok
attn_2l,attention,11,0.999,1.0,0.99,ok
attn_2l,attention,23,0.997,1.0,0.98,ok
attn_2l,attention,47,0.995,1.0,0.99,ok
attn_2l,attention,89,0.999,1.0,0.99,ok
attn_2l,attention,131,0.999,1.0,0.96,ok
attn_4l,attention,11,0.997,1.0,1.58,ok
attn_4l,attention,23,0.999,1.0,1.53,ok
attn_4l,attention,47,0.999,1.0,1.53,ok
attn_4l,attention,89,1.0,1.0,1.54,ok
attn_4l,attention,131,0.998,1.0,1.59,ok
conv3_2l,conv,11,0.005,0.01,0.78,ok
conv3_2l,conv,23,0.004,0.01,0.63,ok
conv3_2l,conv,47,0.002,0.005,0.61,ok
conv3_2l,conv,89,0.002,0.005,0.61,ok
conv3_2l,conv,131,0.003,0.005,0.63,ok
conv7_2l,conv,11,0.021,0.085,0.6,ok
conv7_2l,conv,23,0.015,0.06,0.63,ok
conv7_2l,conv,47,0.018,0.065,0.63,ok
conv7_2l,conv,89,0.019,0.06,0.63,ok
conv7_2l,conv,131,0.014,0.055,0.6,ok
conv7_4l,conv,11,0.217,0.875,0.85,ok
conv7_4l,conv,23,0.207,0.86,0.88,ok
conv7_4l,conv,47,0.152,0.645,0.88,ok
conv7_4l,conv,89,0.208,0.87,0.88,ok
conv7_4l,conv,131,0.236,0.935,0.87,ok
ssm_2l,ssm,11,0.004,0.015,6.22,ok
ssm_2l,ssm,23,0.003,0.005,6.22,ok
ssm_2l,ssm,47,0.002,0.01,6.14,ok
ssm_2l,ssm,89,0.002,0.005,6.12,ok
ssm_2l,ssm,131,0.008,0.015,6.47,ok
ssm_4l,ssm,11,0.004,0.01,12.91,ok
ssm_4l,ssm,23,0.003,0.01,12.22,ok
ssm_4l,ssm,47,0.004,0.01,12.57,ok
ssm_4l,ssm,89,0.002,0.005,12.33,ok
ssm_4l,ssm,131,0.003,0.005,12.13,ok
rwkv_2l,rwkv,11,0.005,0.01,5.0,ok
rwkv_2l,rwkv,23,0.005,0.01,4.92,ok
rwkv_2l,rwkv,47,0.006,0.02,4.9,ok
rwkv_2l,rwkv,89,0.005,0.01,4.88,ok
rwkv_2l,rwkv,131,0.005,0.015,4.9,ok
hybrid_2l,hybrid,11,0.998,1.0,0.83,ok
hybrid_2l,hybrid,23,0.998,1.0,0.82,ok
hybrid_2l,hybrid,47,0.948,0.97,0.82,ok
hybrid_2l,hybrid,89,0.99,0.995,0.8,ok
hybrid_2l,hybrid,131,0.995,1.0,0.77,ok
hybrid_4l,hybrid,11,0.999,1.0,1.21,ok
hybrid_4l,hybrid,23,1.0,1.0,1.22,ok
hybrid_4l,hybrid,47,1.0,1.0,1.2,ok
hybrid_4l,hybrid,89,0.998,1.0,1.2,ok
hybrid_4l,hybrid,131,0.994,1.0,1.22,ok
